Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,345.97748,270.60236,244.96669,206.35601,22.984644,20.136631,19.057076,16.247261,7.7094336,7.5126236,6.7693705,6.914434,8.700291,9.1441772,7.8231939,7.4521492,6.8944099
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.629863,29.359587,34.69009,51.409343,57.010235,57.789526,63.380128,60.610128,64.099552,60.240221,57.470347,58.199768,56.690318,53.550124,55.140211,59.67018,57.710251,59.399812,62.119953,65.529876,70.025578,72.670025,72.375941,70.091619,68.044939
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.036096,31.825923,27.508747,33.391847,32.521916,36.624595,43.309344,54.442419,70.341861,65.195201,55.597249,44.725413,44.502893,46.75534,47.31211,47.049716,60.534621,69.3806,83.468787,78.435243,69.043443,71.651909,70.125422,97.528609,97.990658,116.19509,98.14786,69.855062,72.863184,82.019074,62.813271,54.267336,51.2507,42.148178,35.193284,26.28833,23.637992,13.499803,8.0617611,9.7703189,10.493012,9.2572333,9.3316685,7.6008408,7.673275,8.7472419,20.451958,27.259228,38.335513
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,181.60199,120.95671,96.592503,126.67445,137.83283,133.91414,113.50458,73.736175,57.96784,47.717067,33.464042,18.72879,21.043494,31.378232,56.302247,37.16284,29.557715,26.69056,33.149104,39.809857,57.093024,75.662637,69.264947,89.000287
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,98.070766,99.074611,95.479422,90.146542,89.655476,98.322588,91.673484,87.022463,102.60863,104.60272,104.65307,117.91427,126.26353,125.18718,120.14699,92.683964,89.150962,77.864121,76.080641,100.96677,89.741996,91.803008,87.494089,95.791048,104.57509,100.2931,87.628396,90.555709,89.462606
Argentina,20.5,17.4,18.7,21.4,23.9,24.1,22,19.7,17.2,10.2,8.4,8.7,25.1,21.589325,15.498725,14.669707,12.362078,10.055804,8.6722035,8.8538425,12.450865,14.021019,15.777066,11.069677,11.992125,31.178655,26.48624,23.159408,16.14351,11.439822,10.518021,24.445939,50.917283,59.229086,50.370023,62.640011,51.569572,68.35967,56.643502,109.04335,44.74283,32.934414,27.768231,27.738582,29.310424,31.673426,33.561232,32.662033,35.200242,40.096513,42.05957,49.435499,152.24757,129.11443,117.87785,80.281799,70.79269,62.132711,53.813852,55.39708,43.454315,38.934854,40.436048,43.49607,44.69685,52.562643,53.06018,57.110611,86.057699
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.781934,46.503202,45.189237,39.190779,39.58742,38.052612,38.247604,33.015776,26.445878,20.467167,16.182897,14.249503,14.631835,34.137963,33.757017,35.702398,35.600487,36.330625,39.361634,44.132991,51.928903,53.704434,51.325422
Australia,109.82595,87.107603,86.079408,79.877059,76.858283,74.991799,71.82909,67.73397,66.059704,62.397853,48.343663,49.385555,50.338345,47.594701,45.018309,43.745629,42.487635,40.540588,39.500218,36.806322,34.968859,32.294737,30.726374,27.36559,22.369765,23.640409,22.985812,23.642473,24.736618,22.891884,21.24597,19.135364,16.841997,21.001598,22.317149,24.035439,25.52273,25.257143,20.52426,16.027394,12.101557,11.93342,14.297615,17.721977,19.939244,22.179884,21.439988,20.554601,16.316244,15.463519,13.721225,12.014546,10.333127,8.9951426,8.1031382,7.3601297,6.5624063,6.0777931,7.6389502,11.620013,14.354593,17.028159,19.402629,21.411592,24.62153,28.454004,31.560626,32.211202,30.026421
Austria,20.926777,14.439408,12.841719,15.711368,13.668098,11.37848,10.454991,7.9466084,10.918437,12.995008,13.128931,11.847555,11.480841,11.594306,11.543153,10.992222,10.448447,11.601721,12.440094,12.472411,11.991956,10.591748,9.863281,9.8265921,9.4249146,14.515826,17.520459,19.485262,22.331141,23.724781,24.981411,26.530172,28.591049,32.690166,35.1493,37.312926,41.662655,45.372865,45.361048,45.444244,45.530697,46.221909,46.282692,50.044121,52.72628,55.248084,55.611646,56.834379,56.839792,57.872775,56.508138,55.056343,54.668618,54.721225,55.931896,55.624914,54.238897,51.896978,55.13683,58.572649,59.740463,59.064511,59.48475,59.875237,58.896382,57.838223,58.3181,57.107465,54.819552
